nl2	ld	deg	AI	maxAC	sigma
216	120	7	4	32	324608
212	120	7	4	32	324608
214	120	7	4	32	324608
210	120	7	4	32	324608
216	120	7	4	32	324608
214	120	7	4	32	324608
218	120	7	4	32	324608
220	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
216	120	7	4	32	324608
214	120	7	4	32	324608
210	120	7	4	32	324608
218	120	7	4	32	324608
214	120	7	4	32	324608
214	120	7	4	32	324608
212	120	7	4	32	324608
218	122	7	4	32	324608
214	120	7	4	32	324608
214	120	7	4	32	324608
220	120	7	4	32	324608
216	120	7	4	32	324608
218	120	7	4	32	324608
216	120	7	4	32	324608
216	120	7	4	32	324608
216	120	7	4	32	324608
218	120	7	4	32	324608
214	120	7	4	32	324608
214	120	7	4	32	324608
218	120	7	4	32	324608
210	120	7	4	32	324608
214	120	7	4	32	324608
214	120	7	4	32	324608
214	120	7	4	32	324608
220	120	7	4	32	324608
216	120	7	4	32	324608
214	120	7	4	32	324608
218	120	7	4	32	324608
216	120	7	4	32	324608
216	120	7	4	32	324608
216	120	7	4	32	324608
216	120	7	4	32	324608
218	120	7	4	32	324608
216	120	7	4	32	324608
220	120	7	4	32	324608
218	120	7	4	32	324608
214	120	7	4	32	324608
212	120	7	4	32	324608
218	120	7	4	32	324608
216	120	7	4	32	324608
222	120	7	4	32	324608
214	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
222	120	7	4	32	324608
214	120	7	4	32	324608
220	120	7	4	32	324608
212	120	7	4	32	324608
222	120	7	4	32	324608
214	120	7	4	32	324608
218	120	7	4	32	324608
214	120	7	4	32	324608
220	120	7	4	32	324608
212	120	7	4	32	324608
220	120	7	4	32	324608
210	120	7	4	32	324608
220	120	7	4	32	324608
214	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
220	120	7	4	32	324608
220	120	7	4	32	324608
220	120	7	4	32	324608
220	120	7	4	32	324608
226	120	7	4	32	324608
214	120	7	4	32	324608
220	120	7	4	32	324608
218	120	7	4	32	324608
224	120	7	4	32	324608
218	120	7	4	32	324608
220	120	7	4	32	324608
216	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
220	120	7	4	32	324608
220	120	7	4	32	324608
210	120	7	4	32	324608
214	120	7	4	32	324608
214	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
216	120	7	4	32	324608
216	120	7	4	32	324608
220	120	7	4	32	324608
208	120	7	4	32	324608
208	120	7	4	32	324608
212	122	7	4	32	324608
212	120	7	4	32	324608
212	120	7	4	32	324608
210	120	7	4	32	324608
216	120	7	4	32	324608
218	120	7	4	32	324608
214	120	7	4	32	324608
220	122	7	4	32	324608
216	120	7	4	32	324608
222	120	7	4	32	324608
214	120	7	4	32	324608
224	120	7	4	32	324608
218	120	7	4	32	324608
222	120	7	4	32	324608
210	120	7	4	32	324608
216	120	7	4	32	324608
212	120	7	4	32	324608
216	120	7	4	32	324608
216	120	7	4	32	324608
218	120	7	4	32	324608
216	120	7	4	32	324608
220	120	7	4	32	324608
222	120	7	4	32	324608
206	120	7	4	32	324608
222	120	7	4	32	324608
214	120	7	4	32	324608
228	120	7	4	32	324608
220	120	7	4	32	324608
230	120	7	4	32	324608
220	122	7	4	32	324608
216	120	7	4	32	324608
206	120	7	4	32	324608
220	120	7	4	32	324608
212	120	7	4	32	324608
218	120	7	4	32	324608
210	120	7	4	32	324608
222	120	7	4	32	324608
214	120	7	4	32	324608
222	120	7	4	32	324608
214	120	7	4	32	324608
224	120	7	4	32	324608
220	120	7	4	32	324608
228	120	7	4	32	324608
220	120	7	4	32	324608
230	120	7	4	32	324608
226	120	7	4	32	324608
218	120	7	4	32	324608
212	120	7	4	32	324608
222	120	7	4	32	324608
214	120	7	4	32	324608
222	122	7	4	32	324608
216	120	7	4	32	324608
226	120	7	4	32	324608
220	120	7	4	32	324608
218	120	7	4	32	324608
220	120	7	4	32	324608
210	120	7	4	32	324608
216	120	7	4	32	324608
216	120	7	4	32	324608
226	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
216	120	7	4	32	324608
226	120	7	4	32	324608
214	120	7	4	32	324608
218	120	7	4	32	324608
222	120	7	4	32	324608
228	120	7	4	32	324608
218	120	7	4	32	324608
224	120	7	4	32	324608
210	120	7	4	32	324608
214	120	7	4	32	324608
194	120	7	4	32	324608
208	120	7	4	32	324608
214	120	7	4	32	324608
222	120	7	4	32	324608
208	120	7	4	32	324608
208	120	7	4	32	324608
218	120	7	4	32	324608
220	120	7	4	32	324608
208	120	7	4	32	324608
206	120	7	4	32	324608
218	120	7	4	32	324608
224	120	7	4	32	324608
212	120	7	4	32	324608
214	120	7	4	32	324608
220	120	7	4	32	324608
226	120	7	4	32	324608
214	120	7	4	32	324608
214	120	7	4	32	324608
226	120	7	4	32	324608
224	120	7	4	32	324608
220	120	7	4	32	324608
224	120	7	4	32	324608
226	120	7	4	32	324608
224	120	7	4	32	324608
222	120	7	4	32	324608
220	120	7	4	32	324608
228	120	7	4	32	324608
230	120	7	4	32	324608
224	120	7	4	32	324608
226	120	7	4	32	324608
216	120	7	4	32	324608
214	120	7	4	32	324608
208	120	7	4	32	324608
206	120	7	4	32	324608
218	120	7	4	32	324608
220	120	7	4	32	324608
206	120	7	4	32	324608
210	120	7	4	32	324608
218	120	7	4	32	324608
224	120	7	4	32	324608
208	120	7	4	32	324608
210	120	7	4	32	324608
224	120	7	4	32	324608
226	120	7	4	32	324608
214	120	7	4	32	324608
210	120	7	4	32	324608
216	120	7	4	32	324608
214	120	7	4	32	324608
216	120	7	4	32	324608
220	120	7	4	32	324608
214	120	7	4	32	324608
212	120	7	4	32	324608
212	120	7	4	32	324608
218	120	7	4	32	324608
214	120	7	4	32	324608
214	120	7	4	32	324608
216	120	7	4	32	324608
214	120	7	4	32	324608
216	120	7	4	32	324608
214	120	7	4	32	324608
214	120	7	4	32	324608
218	120	7	4	32	324608
216	120	7	4	32	324608
212	120	7	4	32	324608
216	120	7	4	32	324608
220	120	7	4	32	324608
214	120	7	4	32	324608
210	120	7	4	32	324608
216	120	7	4	32	324608
216	120	7	4	32	324608
218	120	7	4	32	324608
214	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
220	120	7	4	32	324608
216	120	7	4	32	324608
220	120	7	4	32	324608
216	120	7	4	32	324608
220	120	7	4	32	324608
214	120	7	4	32	324608
220	120	7	4	32	324608
218	120	7	4	32	324608
220	120	7	4	32	324608
214	120	7	4	32	324608
218	120	7	4	32	324608
220	120	7	4	32	324608
220	120	7	4	32	324608
214	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
222	120	7	4	32	324608
218	120	7	4	32	324608
226	120	7	4	32	324608
220	120	7	4	32	324608
220	120	7	4	32	324608
222	120	7	4	32	324608
218	120	7	4	32	324608
210	120	7	4	32	324608
220	120	7	4	32	324608
214	120	7	4	32	324608
224	120	7	4	32	324608
216	120	7	4	32	324608
220	120	7	4	32	324608
222	120	7	4	32	324608
220	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
216	120	7	4	32	324608
222	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
210	122	7	4	32	324608
218	120	7	4	32	324608
220	120	7	4	32	324608
214	120	7	4	32	324608
214	120	7	4	32	324608
214	120	7	4	32	324608
216	120	7	4	32	324608
216	120	7	4	32	324608
218	120	7	4	32	324608
220	122	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
220	120	7	4	32	324608
220	120	7	4	32	324608
214	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
220	120	7	4	32	324608
218	120	7	4	32	324608
214	120	7	4	32	324608
216	120	7	4	32	324608
222	120	7	4	32	324608
216	120	7	4	32	324608
218	120	7	4	32	324608
210	120	7	4	32	324608
218	120	7	4	32	324608
214	120	7	4	32	324608
210	122	7	4	32	324608
208	120	7	4	32	324608
218	120	7	4	32	324608
208	120	7	4	32	324608
218	120	7	4	32	324608
208	120	7	4	32	324608
220	120	7	4	32	324608
212	120	7	4	32	324608
214	120	7	4	32	324608
212	120	7	4	32	324608
216	120	7	4	32	324608
212	120	7	4	32	324608
222	120	7	4	32	324608
214	120	7	4	32	324608
218	120	7	4	32	324608
220	120	7	4	32	324608
220	120	7	4	32	324608
212	120	7	4	32	324608
218	120	7	4	32	324608
214	120	7	4	32	324608
218	120	7	4	32	324608
208	120	7	4	32	324608
214	120	7	4	32	324608
214	120	7	4	32	324608
216	120	7	4	32	324608
212	120	7	4	32	324608
216	120	7	4	32	324608
214	122	7	4	32	324608
214	122	7	4	32	324608
202	120	7	4	32	324608
220	120	7	4	32	324608
208	120	7	4	32	324608
214	120	7	4	32	324608
208	120	7	4	32	324608
218	120	7	4	32	324608
210	120	7	4	32	324608
214	120	7	4	32	324608
204	120	7	4	32	324608
216	120	7	4	32	324608
212	120	7	4	32	324608
216	120	7	4	32	324608
200	120	7	4	32	324608
214	120	7	4	32	324608
206	120	7	4	32	324608
220	120	7	4	32	324608
210	120	7	4	32	324608
222	120	7	4	32	324608
212	120	7	4	32	324608
216	120	7	4	32	324608
208	120	7	4	32	324608
220	120	7	4	32	324608
210	120	7	4	32	324608
218	120	7	4	32	324608
208	120	7	4	32	324608
220	120	7	4	32	324608
210	122	7	4	32	324608
214	120	7	4	32	324608
210	120	7	4	32	324608
220	120	7	4	32	324608
210	120	7	4	32	324608
202	120	7	4	32	324608
206	120	7	4	32	324608
210	120	7	4	32	324608
210	120	7	4	32	324608
204	120	7	4	32	324608
210	120	7	4	32	324608
208	120	7	4	32	324608
212	120	7	4	32	324608
208	120	7	4	32	324608
210	120	7	4	32	324608
208	120	7	4	32	324608
212	120	7	4	32	324608
200	120	7	4	32	324608
206	122	7	4	32	324608
210	120	7	4	32	324608
212	120	7	4	32	324608
208	120	7	4	32	324608
210	120	7	4	32	324608
212	120	7	4	32	324608
216	120	7	4	32	324608
212	120	7	4	32	324608
212	120	7	4	32	324608
210	122	7	4	32	324608
212	120	7	4	32	324608
210	120	7	4	32	324608
212	120	7	4	32	324608
210	120	7	4	32	324608
212	120	7	4	32	324608
206	120	7	4	32	324608
212	120	7	4	32	324608
210	120	7	4	32	324608
216	120	7	4	32	324608
212	120	7	4	32	324608
216	120	7	4	32	324608
218	120	7	4	32	324608
216	120	7	4	32	324608
214	120	7	4	32	324608
214	120	7	4	32	324608
218	120	7	4	32	324608
216	120	7	4	32	324608
210	120	7	4	32	324608
210	120	7	4	32	324608
210	120	7	4	32	324608
216	120	7	4	32	324608
214	120	7	4	32	324608
216	120	7	4	32	324608
216	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
220	120	7	4	32	324608
220	120	7	4	32	324608
220	120	7	4	32	324608
216	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
216	120	7	4	32	324608
216	120	7	4	32	324608
214	120	7	4	32	324608
220	120	7	4	32	324608
218	120	7	4	32	324608
212	120	7	4	32	324608
214	120	7	4	32	324608
212	120	7	4	32	324608
216	120	7	4	32	324608
210	120	7	4	32	324608
220	120	7	4	32	324608
214	120	7	4	32	324608
214	120	7	4	32	324608
212	120	7	4	32	324608
212	120	7	4	32	324608
220	120	7	4	32	324608
220	120	7	4	32	324608
214	120	7	4	32	324608
218	120	7	4	32	324608
210	120	7	4	32	324608
222	120	7	4	32	324608
214	120	7	4	32	324608
216	120	7	4	32	324608
218	120	7	4	32	324608
222	120	7	4	32	324608
212	120	7	4	32	324608
216	120	7	4	32	324608
220	120	7	4	32	324608
222	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
214	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
220	120	7	4	32	324608
218	120	7	4	32	324608
224	120	7	4	32	324608
218	120	7	4	32	324608
216	120	7	4	32	324608
220	120	7	4	32	324608
224	120	7	4	32	324608
222	120	7	4	32	324608
222	120	7	4	32	324608
216	120	7	4	32	324608
220	120	7	4	32	324608
226	120	7	4	32	324608
220	120	7	4	32	324608
220	120	7	4	32	324608
222	120	7	4	32	324608
226	120	7	4	32	324608
226	120	7	4	32	324608
222	120	7	4	32	324608
224	120	7	4	32	324608
224	120	7	4	32	324608
234	120	7	4	32	324608
224	120	7	4	32	324608
228	120	7	4	32	324608
216	120	7	4	32	324608
214	120	7	4	32	324608
212	120	7	4	32	324608
210	120	7	4	32	324608
222	120	7	4	32	324608
216	120	7	4	32	324608
216	120	7	4	32	324608
216	120	7	4	32	324608
220	120	7	4	32	324608
218	120	7	4	32	324608
216	120	7	4	32	324608
218	120	7	4	32	324608
224	120	7	4	32	324608
226	120	7	4	32	324608
222	120	7	4	32	324608
220	120	7	4	32	324608
222	120	7	4	32	324608
220	120	7	4	32	324608
214	120	7	4	32	324608
216	120	7	4	32	324608
226	120	7	4	32	324608
232	120	7	4	32	324608
218	120	7	4	32	324608
224	120	7	4	32	324608
220	120	7	4	32	324608
232	120	7	4	32	324608
216	120	7	4	32	324608
226	120	7	4	32	324608
234	120	7	4	32	324608
228	120	7	4	32	324608
226	120	7	4	32	324608
226	120	7	4	32	324608
220	120	7	4	32	324608
216	120	7	4	32	324608
210	120	7	4	32	324608
216	120	7	4	32	324608
224	120	7	4	32	324608
226	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
222	120	7	4	32	324608
224	120	7	4	32	324608
216	120	7	4	32	324608
218	120	7	4	32	324608
228	120	7	4	32	324608
226	120	7	4	32	324608
220	120	7	4	32	324608
226	120	7	4	32	324608
214	120	7	4	32	324608
206	120	7	4	32	324608
218	120	7	4	32	324608
208	122	7	4	32	324608
218	120	7	4	32	324608
212	120	7	4	32	324608
220	120	7	4	32	324608
212	120	7	4	32	324608
208	120	7	4	32	324608
202	120	7	4	32	324608
212	120	7	4	32	324608
204	120	7	4	32	324608
210	120	7	4	32	324608
206	120	7	4	32	324608
218	120	7	4	32	324608
208	120	7	4	32	324608
218	120	7	4	32	324608
210	120	7	4	32	324608
220	120	7	4	32	324608
210	120	7	4	32	324608
222	120	7	4	32	324608
212	120	7	4	32	324608
224	120	7	4	32	324608
214	120	7	4	32	324608
214	122	7	4	32	324608
206	120	7	4	32	324608
214	120	7	4	32	324608
206	120	7	4	32	324608
214	120	7	4	32	324608
208	120	7	4	32	324608
222	120	7	4	32	324608
212	120	7	4	32	324608
216	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
222	120	7	4	32	324608
224	120	7	4	32	324608
228	120	7	4	32	324608
222	120	7	4	32	324608
228	120	7	4	32	324608
214	120	7	4	32	324608
212	120	7	4	32	324608
216	120	7	4	32	324608
220	120	7	4	32	324608
216	120	7	4	32	324608
222	120	7	4	32	324608
218	122	7	4	32	324608
222	120	7	4	32	324608
222	120	7	4	32	324608
222	120	7	4	32	324608
224	120	7	4	32	324608
226	120	7	4	32	324608
228	120	7	4	32	324608
228	122	7	4	32	324608
228	120	7	4	32	324608
232	120	7	4	32	324608
216	120	7	4	32	324608
216	120	7	4	32	324608
222	120	7	4	32	324608
220	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
224	120	7	4	32	324608
224	120	7	4	32	324608
212	120	7	4	32	324608
210	120	7	4	32	324608
218	120	7	4	32	324608
212	120	7	4	32	324608
210	120	7	4	32	324608
214	120	7	4	32	324608
216	120	7	4	32	324608
218	120	7	4	32	324608
214	120	7	4	32	324608
212	120	7	4	32	324608
216	120	7	4	32	324608
218	120	7	4	32	324608
214	120	7	4	32	324608
214	120	7	4	32	324608
212	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
214	120	7	4	32	324608
220	120	7	4	32	324608
220	120	7	4	32	324608
210	120	7	4	32	324608
210	120	7	4	32	324608
220	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
220	120	7	4	32	324608
218	120	7	4	32	324608
214	120	7	4	32	324608
216	120	7	4	32	324608
218	120	7	4	32	324608
212	120	7	4	32	324608
220	120	7	4	32	324608
216	120	7	4	32	324608
220	120	7	4	32	324608
220	120	7	4	32	324608
216	120	7	4	32	324608
210	120	7	4	32	324608
218	120	7	4	32	324608
214	120	7	4	32	324608
220	120	7	4	32	324608
214	120	7	4	32	324608
212	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
216	120	7	4	32	324608
216	120	7	4	32	324608
214	120	7	4	32	324608
216	120	7	4	32	324608
216	120	7	4	32	324608
214	120	7	4	32	324608
220	120	7	4	32	324608
222	120	7	4	32	324608
216	120	7	4	32	324608
222	120	7	4	32	324608
218	120	7	4	32	324608
224	120	7	4	32	324608
216	120	7	4	32	324608
220	120	7	4	32	324608
216	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
222	120	7	4	32	324608
216	120	7	4	32	324608
224	120	7	4	32	324608
214	120	7	4	32	324608
220	120	7	4	32	324608
222	120	7	4	32	324608
218	120	7	4	32	324608
214	120	7	4	32	324608
220	122	7	4	32	324608
220	120	7	4	32	324608
226	120	7	4	32	324608
214	120	7	4	32	324608
222	120	7	4	32	324608
216	120	7	4	32	324608
222	120	7	4	32	324608
220	120	7	4	32	324608
222	120	7	4	32	324608
220	120	7	4	32	324608
224	120	7	4	32	324608
222	120	7	4	32	324608
220	120	7	4	32	324608
218	120	7	4	32	324608
224	120	7	4	32	324608
216	120	7	4	32	324608
224	120	7	4	32	324608
218	120	7	4	32	324608
226	120	7	4	32	324608
220	120	7	4	32	324608
224	120	7	4	32	324608
218	120	7	4	32	324608
220	120	7	4	32	324608
220	120	7	4	32	324608
222	120	7	4	32	324608
222	122	7	4	32	324608
226	120	7	4	32	324608
220	120	7	4	32	324608
212	120	7	4	32	324608
220	120	7	4	32	324608
216	120	7	4	32	324608
222	120	7	4	32	324608
214	120	7	4	32	324608
224	120	7	4	32	324608
218	120	7	4	32	324608
220	122	7	4	32	324608
214	120	7	4	32	324608
224	120	7	4	32	324608
212	120	7	4	32	324608
222	120	7	4	32	324608
214	120	7	4	32	324608
222	120	7	4	32	324608
214	120	7	4	32	324608
218	120	7	4	32	324608
216	120	7	4	32	324608
224	120	7	4	32	324608
216	122	7	4	32	324608
222	120	7	4	32	324608
212	120	7	4	32	324608
220	120	7	4	32	324608
222	120	7	4	32	324608
226	120	7	4	32	324608
218	120	7	4	32	324608
226	120	7	4	32	324608
222	120	7	4	32	324608
224	120	7	4	32	324608
214	120	7	4	32	324608
226	120	7	4	32	324608
212	120	7	4	32	324608
214	120	7	4	32	324608
216	120	7	4	32	324608
218	120	7	4	32	324608
222	120	7	4	32	324608
208	120	7	4	32	324608
214	120	7	4	32	324608
214	122	7	4	32	324608
216	120	7	4	32	324608
218	120	7	4	32	324608
224	120	7	4	32	324608
222	120	7	4	32	324608
228	120	7	4	32	324608
210	120	7	4	32	324608
216	120	7	4	32	324608
214	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
220	120	7	4	32	324608
224	120	7	4	32	324608
212	120	7	4	32	324608
216	120	7	4	32	324608
214	120	7	4	32	324608
222	120	7	4	32	324608
220	120	7	4	32	324608
222	120	7	4	32	324608
224	120	7	4	32	324608
228	120	7	4	32	324608
218	120	7	4	32	324608
218	122	7	4	32	324608
222	120	7	4	32	324608
224	120	7	4	32	324608
206	120	7	4	32	324608
218	120	7	4	32	324608
210	120	7	4	32	324608
222	120	7	4	32	324608
202	120	7	4	32	324608
212	120	7	4	32	324608
206	120	7	4	32	324608
216	120	7	4	32	324608
212	120	7	4	32	324608
228	120	7	4	32	324608
212	120	7	4	32	324608
228	122	7	4	32	324608
206	120	7	4	32	324608
222	120	7	4	32	324608
208	120	7	4	32	324608
218	120	7	4	32	324608
208	122	7	4	32	324608
222	120	7	4	32	324608
210	120	7	4	32	324608
226	120	7	4	32	324608
204	120	7	4	32	324608
220	120	7	4	32	324608
206	120	7	4	32	324608
220	120	7	4	32	324608
212	120	7	4	32	324608
228	120	7	4	32	324608
214	120	7	4	32	324608
232	120	7	4	32	324608
208	120	7	4	32	324608
222	120	7	4	32	324608
212	120	7	4	32	324608
224	120	7	4	32	324608
208	120	7	4	32	324608
210	120	7	4	32	324608
210	120	7	4	32	324608
210	120	7	4	32	324608
208	120	7	4	32	324608
212	120	7	4	32	324608
210	120	7	4	32	324608
216	120	7	4	32	324608
208	120	7	4	32	324608
210	120	7	4	32	324608
214	120	7	4	32	324608
208	120	7	4	32	324608
216	120	7	4	32	324608
216	120	7	4	32	324608
214	120	7	4	32	324608
218	120	7	4	32	324608
210	120	7	4	32	324608
208	120	7	4	32	324608
212	120	7	4	32	324608
216	120	7	4	32	324608
214	120	7	4	32	324608
214	120	7	4	32	324608
214	120	7	4	32	324608
218	120	7	4	32	324608
210	120	7	4	32	324608
214	120	7	4	32	324608
214	120	7	4	32	324608
218	120	7	4	32	324608
214	120	7	4	32	324608
220	120	7	4	32	324608
220	120	7	4	32	324608
218	120	7	4	32	324608
210	120	7	4	32	324608
212	120	7	4	32	324608
208	120	7	4	32	324608
210	120	7	4	32	324608
210	120	7	4	32	324608
202	120	7	4	32	324608
214	120	7	4	32	324608
218	120	7	4	32	324608
212	120	7	4	32	324608
202	120	7	4	32	324608
214	120	7	4	32	324608
214	120	7	4	32	324608
216	120	7	4	32	324608
220	120	7	4	32	324608
220	120	7	4	32	324608
218	120	7	4	32	324608
210	120	7	4	32	324608
210	120	7	4	32	324608
216	120	7	4	32	324608
206	120	7	4	32	324608
208	120	7	4	32	324608
214	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
216	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
218	120	7	4	32	324608
