nl2	ld	deg	AI	maxAC	sigma
220	114	7	4	56	324608
218	114	7	4	56	324608
216	118	7	4	56	324608
218	118	7	4	56	324608
216	118	7	4	56	324608
218	118	7	4	56	324608
220	114	7	4	56	324608
218	114	7	4	56	324608
214	114	7	4	56	324608
216	114	7	4	56	324608
218	118	7	4	56	324608
216	118	7	4	56	324608
214	118	7	4	56	324608
216	118	7	4	56	324608
212	114	7	4	56	324608
218	114	7	4	56	324608
216	114	7	4	56	324608
220	114	7	4	56	324608
216	118	7	4	56	324608
214	118	7	4	56	324608
212	118	7	4	56	324608
214	118	7	4	56	324608
210	114	7	4	56	324608
204	114	7	4	56	324608
216	114	7	4	56	324608
214	114	7	4	56	324608
216	118	7	4	56	324608
214	118	7	4	56	324608
216	114	7	4	56	324608
214	114	7	4	56	324608
210	118	7	4	56	324608
212	118	7	4	56	324608
218	118	7	4	56	324608
222	118	7	4	56	324608
214	114	7	4	56	324608
218	114	7	4	56	324608
210	114	7	4	56	324608
212	114	7	4	56	324608
210	118	7	4	56	324608
208	118	7	4	56	324608
212	118	7	4	56	324608
214	118	7	4	56	324608
212	114	7	4	56	324608
212	114	7	4	56	324608
218	114	7	4	56	324608
212	114	7	4	56	324608
218	118	7	4	56	324608
212	118	7	4	56	324608
224	118	7	4	56	324608
222	118	7	4	56	324608
224	114	7	4	56	324608
218	114	7	4	56	324608
214	114	7	4	56	324608
214	114	7	4	56	324608
214	118	7	4	56	324608
208	118	7	4	56	324608
218	118	7	4	56	324608
214	118	7	4	56	324608
218	114	7	4	56	324608
214	114	7	4	56	324608
218	118	7	4	56	324608
216	118	7	4	56	324608
216	114	7	4	56	324608
216	114	7	4	56	324608
224	114	7	4	56	324608
216	114	7	4	56	324608
222	118	7	4	56	324608
216	118	7	4	56	324608
214	118	7	4	56	324608
206	118	7	4	56	324608
210	114	7	4	56	324608
204	114	7	4	56	324608
220	114	7	4	56	324608
210	114	7	4	56	324608
218	118	7	4	56	324608
214	118	7	4	56	324608
206	118	7	4	56	324608
208	118	7	4	56	324608
214	114	7	4	56	324608
216	114	7	4	56	324608
206	114	7	4	56	324608
206	114	7	4	56	324608
214	118	7	4	56	324608
214	118	7	4	56	324608
208	118	7	4	56	324608
212	118	7	4	56	324608
216	114	7	4	56	324608
218	114	7	4	56	324608
206	114	7	4	56	324608
212	114	7	4	56	324608
216	118	7	4	56	324608
218	118	7	4	56	324608
214	114	7	4	56	324608
218	114	7	4	56	324608
214	118	7	4	56	324608
220	118	7	4	56	324608
212	118	7	4	56	324608
218	118	7	4	56	324608
214	114	7	4	56	324608
224	114	7	4	56	324608
214	114	7	4	56	324608
218	114	7	4	56	324608
216	118	7	4	56	324608
222	118	7	4	56	324608
216	118	7	4	56	324608
220	118	7	4	56	324608
216	114	7	4	56	324608
222	114	7	4	56	324608
206	114	7	4	56	324608
208	114	7	4	56	324608
216	118	7	4	56	324608
216	118	7	4	56	324608
208	118	7	4	56	324608
206	118	7	4	56	324608
218	114	7	4	56	324608
216	114	7	4	56	324608
208	114	7	4	56	324608
210	114	7	4	56	324608
220	118	7	4	56	324608
218	118	7	4	56	324608
210	118	7	4	56	324608
210	118	7	4	56	324608
218	114	7	4	56	324608
218	114	7	4	56	324608
216	118	7	4	56	324608
214	118	7	4	56	324608
220	114	7	4	56	324608
222	114	7	4	56	324608
222	114	7	4	56	324608
212	114	7	4	56	324608
216	118	7	4	56	324608
224	118	7	4	56	324608
214	118	7	4	56	324608
218	118	7	4	56	324608
226	114	7	4	56	324608
222	114	7	4	56	324608
216	114	7	4	56	324608
218	114	7	4	56	324608
222	118	7	4	56	324608
222	118	7	4	56	324608
212	114	7	4	56	324608
214	114	7	4	56	324608
212	118	7	4	56	324608
216	118	7	4	56	324608
212	118	7	4	56	324608
212	118	7	4	56	324608
212	114	7	4	56	324608
218	114	7	4	56	324608
216	114	7	4	56	324608
216	114	7	4	56	324608
218	118	7	4	56	324608
218	118	7	4	56	324608
212	118	7	4	56	324608
216	118	7	4	56	324608
214	114	7	4	56	324608
214	114	7	4	56	324608
214	118	7	4	56	324608
214	118	7	4	56	324608
216	114	7	4	56	324608
218	114	7	4	56	324608
216	114	7	4	56	324608
216	114	7	4	56	324608
214	118	7	4	56	324608
216	118	7	4	56	324608
218	118	7	4	56	324608
216	118	7	4	56	324608
216	114	7	4	56	324608
218	114	7	4	56	324608
216	114	7	4	56	324608
214	114	7	4	56	324608
212	118	7	4	56	324608
218	118	7	4	56	324608
220	118	7	4	56	324608
210	118	7	4	56	324608
220	114	7	4	56	324608
218	114	7	4	56	324608
218	114	7	4	56	324608
210	114	7	4	56	324608
218	118	7	4	56	324608
